sampleID,B_cell,T_cell.CD4,T_cell.CD8,Neutrophil,Macrophage,DC,SUM
normal01,0.083113766,0.122643163,0.287853755,0.135957797,0.065242541,0.515934841,1.210745862
normal02,0.086330651,0.119581683,0.221101084,0.120043671,0.059434668,0.482652438,1.089144196
normal03,0.084667579,0.120153338,0.243404083,0.126674378,0.068773836,0.482653492,1.126326707
normal04,0.093514468,0.115106283,0.287354279,0.14646959,0.07250586,0.534309194,1.249259674
normal05,0.094631089,0.118879969,0.260605885,0.134939976,0.08166644,0.504979505,1.195702864
normal06,0.087573141,0.121575656,0.233461134,0.126822335,0.065819428,0.490042274,1.125293967
normal07,0.084603716,0.11219248,0.247553589,0.13577443,0.048006275,0.503753005,1.131883495
normal08,0.085935075,0.128096733,0.248300081,0.127962435,0.064620497,0.488156252,1.143071074
normal09,0.082008044,0.114986298,0.259357972,0.126762776,0.073737101,0.497910728,1.154762918
normal10,0.087881117,0.114018206,0.272639308,0.130557041,0.054711657,0.499370106,1.159177436
tumor10,0.104612327,0.138843154,0.205881354,0.118656736,0.065918035,0.487830495,1.121742101
tumor11,0.100203489,0.110438593,0.19280355,0.12317635,0.064952728,0.487975518,1.079550228
tumor12,0.149088352,0.144270593,0.222531193,0.138246272,0.061611991,0.503379847,1.219128248
tumor13,0.094547197,0.144598399,0.195613574,0.116216873,0.055668092,0.478545698,1.085189833
tumor14,0.095027282,0.120733532,0.188206437,0.133622497,0.051717122,0.481248435,1.070555305
tumor15,0.091670827,0.104074421,0.168493255,0.116463166,0.046515509,0.465298531,0.99251571
tumor16,0.100360229,0.108896265,0.214219142,0.122246609,0.028697493,0.511888626,1.086308364
tumor17,0.108225058,0.139810799,0.220410175,0.134256312,0.042157936,0.575242187,1.220102467
tumor18,0.098415543,0.11230397,0.184499797,0.116064016,0.039558089,0.490056291,1.040897706
tumor19,0.091014129,0.1107907,0.203356189,0.127083741,0.054979773,0.517698568,1.104923098
tumor20,0.093108549,0.100096785,0.173376155,0.112348722,0.031353537,0.479213074,0.989496823
tumor21,0.088234147,0.112951843,0.18176482,0.127675006,0.049225587,0.506009482,1.065860886
tumor22,0.115935709,0.135737671,0.204517939,0.128514822,0.061825581,0.49552746,1.142059181
tumor23,0.100528597,0.10280302,0.182196931,0.126612184,0.037892191,0.488512374,1.038545296
tumor24,0.125760667,0.126863908,0.219242204,0.126073803,0.051657718,0.492103623,1.141701923
tumor25,0.086161248,0.154861684,0.190493691,0.132228665,0.058198313,0.513116384,1.135059984
tumor26,0.098558571,0.117234716,0.195543956,0.112072558,0.05163103,0.47832855,1.053369382
tumor27,0.107396523,0.11904112,0.188600397,0.12695173,0.029430327,0.517865608,1.089285705
tumor28,0.105663677,0.125649567,0.197635544,0.115433042,0.054639383,0.489340072,1.088361286
tumor29,0.104446953,0.142488054,0.205061846,0.135563301,0.064194244,0.527815514,1.179569912
tumor2,0.096414431,0.119692223,0.1937056,0.113846748,0.053416657,0.488414219,1.065489879
tumor30,0.105102602,0.119686359,0.215128333,0.115283334,0.061867985,0.493441285,1.110509898
tumor31,0.112923274,0.107785843,0.184588725,0.122577651,0.044803392,0.472956178,1.045635063
tumor32,0.115122752,0.135984512,0.207573488,0.114926424,0.050768991,0.479684071,1.104060237
tumor33,0.091097587,0.111668718,0.193855671,0.110529816,0.041190524,0.486539076,1.034881392
tumor34,0.094109421,0.120763608,0.185653719,0.118928957,0.052181666,0.505022595,1.076659966
tumor35,0.0991452,0.103387673,0.207728447,0.121511977,0.056539507,0.484593459,1.072906264
tumor36,0.11367964,0.111951065,0.192891545,0.119968454,0.056396218,0.462521589,1.057408509
tumor37,0.109272498,0.121747331,0.211771116,0.134601924,0.048760406,0.536900802,1.163054076
tumor38,0.107558488,0.123485945,0.200737989,0.127117966,0.046128793,0.507009365,1.112038547
tumor39,0.087155128,0.123714946,0.197972364,0.121795328,0.056561342,0.530851641,1.11805075
tumor3,0.096196026,0.109595641,0.195457245,0.114257093,0.044849752,0.481953838,1.042309595
tumor40,0.08975904,0.112181009,0.179603243,0.121769376,0.03988904,0.479874986,1.023076695
tumor41,0.091647827,0.105651823,0.198052604,0.110812283,0.056636068,0.481388859,1.044189464
tumor42,0.094103698,0.115385227,0.184106441,0.124916369,0.080436512,0.507337059,1.106285306
tumor43,0.082712735,0.121109633,0.171671152,0.114650742,0.046019845,0.463313279,0.999477386
tumor44,0.096644723,0.125903629,0.213924449,0.121192712,0.05554674,0.505118397,1.118330649
tumor47,0.102490738,0.124776705,0.204696537,0.11433148,0.046701219,0.488287911,1.081284589
tumor48,0.094105196,0.104912099,0.174711838,0.125528026,0.033578383,0.495469503,1.028305045
tumor49,0.096435407,0.138396515,0.207859235,0.134569076,0.048667774,0.528470336,1.154398343
tumor4,0.101628011,0.109716969,0.166752269,0.12487393,0.038872538,0.477182625,1.019026342
tumor50,0.10468189,0.121735329,0.20877635,0.115140928,0.050555539,0.485225897,1.086115933
tumor51,0.1012847,0.119098016,0.17515937,0.117614653,0.035993,0.490437618,1.039587357
tumor52,0.111268764,0.095699963,0.204195787,0.114935942,0.053369444,0.481305477,1.060775377
tumor53,0.099527295,0.139455867,0.198515145,0.131591885,0.071091414,0.51661199,1.156793595
tumor54,0.103106902,0.120828979,0.175856224,0.134267343,0.046400843,0.513817857,1.094278149
tumor55,0.111917374,0.145744837,0.225003693,0.132695479,0.039261111,0.53554424,1.190166734
tumor5,0.099325731,0.115780372,0.183742942,0.120557679,0.051338219,0.47508944,1.045834382
tumor6,0.09884018,0.118290892,0.193079882,0.112400094,0.050319607,0.479182942,1.052113597
tumor7,0.086033249,0.101539742,0.174065529,0.112408558,0.045937922,0.476376185,0.996361185
tumor8,0.095848078,0.150988371,0.196969175,0.136549999,0.050028263,0.525382559,1.155766446